year1,Homicidios_mujeres,,year2,Feminicidios,,year3,Otros_tipos,,year,estado,feminicidios,,,year4,index_state,feminicidios
,,,,,,,,,,,,,1998.xlsx,1998,24,27
,,,,,,,,,,,,,1998.xlsx,1998,25,33
,,,,,,,,,,,,,1998.xlsx,1998,26,25
,,,,,,,,,,,,,1998.xlsx,1998,27,17
,,,,,,,,,,,,,1998.xlsx,1998,28,35
,,,,,,,,,,,,,1998.xlsx,1998,29,12
,,,,,,,,,,,,,1998.xlsx,1998,30,48
,,,,,,,,,,,,,1998.xlsx,1998,31,10
,,,,,,,,,,,,,1998.xlsx,1998,32,12
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1999.xlsx,1999,2,52
,,,,,,,,,,,,,1999.xlsx,1999,3,5
,,,,,,,,,,,,,1999.xlsx,1999,4,6
,,,,,,,,,,,,,1999.xlsx,1999,5,18
,,,,,,,,,,,,,1999.xlsx,1999,6,10
,,,,,,,,,,,,,1999.xlsx,1999,7,75
,,,,,,,,,,,,,1999.xlsx,1999,8,48
,,,,,,,,,,,,,1999.xlsx,1999,9,127
,,,,,,,,,,,,,1999.xlsx,1999,10,20
,,,,,,,,,,,,,1999.xlsx,1999,11,39
,,,,,,,,,,,,,1999.xlsx,1999,12,90
,,,,,,,,,,,,,1999.xlsx,1999,13,23
,,,,,,,,,,,,,1999.xlsx,1999,14,63
,,,,,,,,,,,,,1999.xlsx,1999,15,312
,,,,,,,,,,,,,1999.xlsx,1999,16,35
,,,,,,,,,,,,,1999.xlsx,1999,17,45
,,,,,,,,,,,,,1999.xlsx,1999,18,10
,,,,,,,,,,,,,1999.xlsx,1999,19,14
,,,,,,,,,,,,,1999.xlsx,1999,20,78
,,,,,,,,,,,,,1999.xlsx,1999,21,59
,,,,,,,,,,,,,1999.xlsx,1999,22,14
,,,,,,,,,,,,,1999.xlsx,1999,23,14
,,,,,,,,,,,,,1999.xlsx,1999,24,32
,,,,,,,,,,,,,1999.xlsx,1999,25,38
,,,,,,,,,,,,,1999.xlsx,1999,26,27
,,,,,,,,,,,,,1999.xlsx,1999,27,19
,,,,,,,,,,,,,1999.xlsx,1999,28,45
,,,,,,,,,,,,,1999.xlsx,1999,29,16
,,,,,,,,,,,,,1999.xlsx,1999,30,50
,,,,,,,,,,,,,1999.xlsx,1999,31,11
,,,,,,,,,,,,,1999.xlsx,1999,32,8
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2000.xlsx,2000,1,4
,,,,,,,,,,,,,2000.xlsx,2000,2,32
,,,,,,,,,,,,,2000.xlsx,2000,3,5
,,,,,,,,,,,,,2000.xlsx,2000,4,5
,,,,,,,,,,,,,2000.xlsx,2000,5,16
,,,,,,,,,,,,,2000.xlsx,2000,6,9
,,,,,,,,,,,,,2000.xlsx,2000,7,52
,,,,,,,,,,,,,2000.xlsx,2000,8,58
,,,,,,,,,,,,,2000.xlsx,2000,9,109
,,,,,,,,,,,,,2000.xlsx,2000,10,10
,,,,,,,,,,,,,2000.xlsx,2000,11,39
,,,,,,,,,,,,,2000.xlsx,2000,12,76
,,,,,,,,,,,,,2000.xlsx,2000,13,16
,,,,,,,,,,,,,2000.xlsx,2000,14,58
,,,,,,,,,,,,,2000.xlsx,2000,15,320
,,,,,,,,,,,,,2000.xlsx,2000,16,49
,,,,,,,,,,,,,2000.xlsx,2000,17,22
,,,,,,,,,,,,,2000.xlsx,2000,18,4
,,,,,,,,,,,,,2000.xlsx,2000,19,28
,,,,,,,,,,,,,2000.xlsx,2000,20,78
,,,,,,,,,,,,,2000.xlsx,2000,21,44
,,,,,,,,,,,,,2000.xlsx,2000,22,18
,,,,,,,,,,,,,2000.xlsx,2000,23,7
,,,,,,,,,,,,,2000.xlsx,2000,24,35
,,,,,,,,,,,,,2000.xlsx,2000,25,30
,,,,,,,,,,,,,2000.xlsx,2000,26,14
,,,,,,,,,,,,,2000.xlsx,2000,27,11
,,,,,,,,,,,,,2000.xlsx,2000,28,49
,,,,,,,,,,,,,2000.xlsx,2000,29,16
,,,,,,,,,,,,,2000.xlsx,2000,30,51
,,,,,,,,,,,,,2000.xlsx,2000,31,11
,,,,,,,,,,,,,2000.xlsx,2000,32,2
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2001.xlsx,2001,1,3
,,,,,,,,,,,,,2001.xlsx,2001,2,44
,,,,,,,,,,,,,2001.xlsx,2001,3,6
,,,,,,,,,,,,,2001.xlsx,2001,4,5
,,,,,,,,,,,,,2001.xlsx,2001,5,33
,,,,,,,,,,,,,2001.xlsx,2001,6,9
,,,,,,,,,,,,,2001.xlsx,2001,7,18
,,,,,,,,,,,,,2001.xlsx,2001,8,74
,,,,,,,,,,,,,2001.xlsx,2001,9,106
,,,,,,,,,,,,,2001.xlsx,2001,10,12
,,,,,,,,,,,,,2001.xlsx,2001,11,39
,,,,,,,,,,,,,2001.xlsx,2001,12,59
,,,,,,,,,,,,,2001.xlsx,2001,13,21
,,,,,,,,,,,,,2001.xlsx,2001,14,53
,,,,,,,,,,,,,2001.xlsx,2001,15,329
,,,,,,,,,,,,,2001.xlsx,2001,16,71
,,,,,,,,,,,,,2001.xlsx,2001,17,30
,,,,,,,,,,,,,2001.xlsx,2001,18,16
,,,,,,,,,,,,,2001.xlsx,2001,19,11
,,,,,,,,,,,,,2001.xlsx,2001,20,62
,,,,,,,,,,,,,2001.xlsx,2001,21,64
,,,,,,,,,,,,,2001.xlsx,2001,22,17
,,,,,,,,,,,,,2001.xlsx,2001,23,17
,,,,,,,,,,,,,2001.xlsx,2001,24,28
,,,,,,,,,,,,,2001.xlsx,2001,25,24
,,,,,,,,,,,,,2001.xlsx,2001,26,20
,,,,,,,,,,,,,2001.xlsx,2001,27,8
,,,,,,,,,,,,,2001.xlsx,2001,28,24
,,,,,,,,,,,,,2001.xlsx,2001,29,11
,,,,,,,,,,,,,2001.xlsx,2001,30,51
,,,,,,,,,,,,,2001.xlsx,2001,31,3
,,,,,,,,,,,,,2001.xlsx,2001,32,8
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2002.xlsx,2002,1,6
,,,,,,,,,,,,,2002.xlsx,2002,2,33
,,,,,,,,,,,,,2002.xlsx,2002,3,3
,,,,,,,,,,,,,2002.xlsx,2002,4,2
,,,,,,,,,,,,,2002.xlsx,2002,5,17
,,,,,,,,,,,,,2002.xlsx,2002,6,3
,,,,,,,,,,,,,2002.xlsx,2002,7,80
,,,,,,,,,,,,,2002.xlsx,2002,8,76
,,,,,,,,,,,,,2002.xlsx,2002,9,105
,,,,,,,,,,,,,2002.xlsx,2002,10,19
